公司名稱,職務,相關年資(Y),現職年資(Y),月底薪(萬),Bonus (月),每月平均工時,加班頻率,爽度(1~5) 5最爽,Loading(5最重)
鼎王,R&D Engineer,8,4,10,25,180,2,5,2
鼎王,R&D Engineer,7,7,11,24,180,2,4,2
壽險,Actuary,0,2.5,8,8,176,2,3,4
壽險公會,Researcher,6,6,5,2,140,1,5,1
網通系統,Legal,9,1,10,6,160,1,5,1
網通類,International Sales,7,4,6,0,180,2,2,4
醫療業,Data Analyst,6,6,4.5,3,40,2,2,2
醫療器材,Editor ,6,3,3.8,4,160,1,5,1
醫療器材,Sales,4,1.7,5,3,180,1,2,3
藥楊,Legal,10,2,5,2,160,5,3,3
A公司,Analyst,3,1,5.5,1,180,1,4,2
Acer,Finance,2,2,4.9,3,160,1,4,2
Advantech,Marketing,2,1,5.2,2,180,3,4,3
AICS,Software Development Engineer,3,3,18,2,180,1,3,4
AMD,Engineer,15,3,18,3,160,2,3,3
AMD,Application Engineer,8,1,14,3,160,1,5,2
AMD,Silicon Design Engineer,3,3,9,1,160,2,4,3
Andes,Software Engineer,2,2,7,2,160,1,4,3
Andes Technology,R&D Engineer,2.5,2.5,9,2,160,1,4,1
ANPEC,Digital IC Engineer,6,6,8.2,2,160,1,5,3
Anpec,Analog IC Designer,0,0,7,16,160,1,5,2
ASUS,Sales,0,2,4,21,160,1,3,2
ASUS,UI/UX Designer,10,5,6,6,160,1,4,3
AUO,Stock Manager,7,1,6,2,200,4,1,5
C,Legal Assistant Manager,0,2,6.1,8,160,1,4,3
cacaFly,Sales,1,1,3.5,15000,160,1,3,3
CHT,Sales Manager,4,4,4.4,6,160,1,4,5
CHT,Data Engineer,10,2,6,4,160,1,4,1
Compal,AI Software Development Engineer,2,0,5,0,180,3,2,4
cp,Administration Manager,16,3,6,2,160,1,2,5
DELTA,Financial Analyst Specialist,15,1,5.2,2,120,1,5,1
Digit Spark,Marketing,3,2,3.5,0,160,1,4,2
DIGITIMES,Legal,15,1,6.2,2,40,1,3,3
Elan,Finance Manager,3,1,8,21,190,3,4,3
Elan,Engineer,3,3,9,7,160,1,4,3
Elan,Assistant Manager,16,11,13,3,200,5,2,4
Elan,Mechanical Engineer,1,1,6.7,3,240,5,1,5
Eternal Materials,Engineer,0,0,5,2,200,1,2,2
Etron,Analog IC Designer,5,5,8,5,160,1,4,1
FET,Data Engineer Senior Engineer,10,2,5.5,4,180,4,2,3
Fiti,Analog IC Engineer,6,6,9,2,180,1,3,3
Fiti,Analog R&D Engineer,1.8,1.8,8.5,8,210,5,4,5
Fiti,R&D Engineer,14,5,16,10,210,5,2,2
Fiti,Systems Analyst,1.8,1.8,7.4,10,200,5,2,4
FocalTech,Engineer,3,1,8.8,1,240,5,2,4
FWD,Sales,5,5,6,15,207,3,4,3
Gf,Account Manager,2,2,5,5,160,1,5,4
GREEN,Legal,3,1.5,5,5,160,1,4,3
GS Marketing,Marketing,2.5,2.5,5,0,160,1,3,4
GUC,Engineer,0.5,1,8,2,200,5,2,4
GUC,Engineer,2,1,6.3,3.5,160,1,3,2
GUC,Senior Engineer,4,4,9,6,160,1,5,2
GUC,R&D Engineer,0,0,8,2,160,1,4,3
GUC,Technical Manager,18,5,16,6,160,1,5,1
Himax,Advanced Engineer,2,2,8,15,200,3,3,3
Himax,Manager,15,10,15,2,160,1,5,5
Himax,Analog IC Engineer,10,2,11,20,180,3,3,3
Himax,Analog IC Designer,2,2,8,3.5,180,4,4,3
Himax Technologies,Systems Application Engineer,0,0,7.5,2,200,2,3,3
Himax Technologies,Analog IC Engineer,3,3,8,6,180,2,4,1
Holtek,Manager,15,7,9,4,170,1,3,2
HTC,UI/UX Designer,3,1,5.7,2,160,1,3,3
Huawei,Engineer,10,10,5,5,160,1,1,1
Ilitek,Engineer,3,3,12.5,25,240,5,1,5
